Axial_load,Confining_Pressure,Displesment,Pore_Pressure
24.230,63.430,12.904,3.830
24.300,63.470,12.931,3.830
24.380,63.520,12.954,3.880
24.480,63.570,12.981,3.880
24.420,63.620,13.006,3.880
24.380,63.430,13.034,3.830
24.520,63.520,13.059,3.880
24.480,63.520,13.088,3.880
24.540,63.620,13.112,3.720
24.480,63.620,13.139,3.830
24.340,63.470,13.165,3.830
24.530,63.280,13.192,3.880
24.580,63.620,13.215,3.880
24.420,63.430,13.243,3.880
24.390,63.430,13.267,3.830
24.400,63.430,13.293,3.830
24.570,63.570,13.316,3.830
24.650,63.620,13.344,3.780
24.590,63.380,13.367,3.880
24.650,62.950,13.393,3.780
24.440,63.140,13.421,3.830
24.640,63.140,13.446,3.830
24.670,63.230,13.473,3.830
24.680,63.280,13.500,3.780
24.770,63.330,13.526,3.830
24.780,63.330,13.555,3.780
24.280,63.430,13.589,3.780
24.250,63.470,13.625,3.830
24.530,63.520,13.652,3.780
24.550,63.570,13.676,3.830
24.700,63.380,13.707,3.940
24.590,62.710,13.730,3.830
24.660,62.950,13.755,3.830
24.760,63.280,13.782,3.830
24.790,63.620,13.807,3.830
24.830,62.850,13.832,3.720
24.830,63.470,13.858,3.940
24.910,63.520,13.884,3.780
25.010,63.520,13.910,3.780
25.060,63.570,13.937,3.830
24.890,63.620,13.963,3.780
25.010,63.190,13.989,3.780
25.130,63.620,14.013,3.880
24.850,63.380,14.041,3.830
24.970,62.470,14.067,3.720
24.830,62.800,14.092,3.780
25.010,62.990,14.119,3.780
24.910,63.230,14.163,3.720
24.990,63.470,14.185,3.830
25.000,62.470,14.211,3.720
24.660,62.800,14.258,3.830
24.810,63.230,14.281,3.830
24.970,63.520,14.307,3.990
24.880,63.470,14.332,3.780
25.000,63.570,14.359,3.780
25.080,63.620,14.387,3.780
24.900,62.950,14.412,3.830
24.990,63.090,14.438,3.780
25.000,63.140,14.463,3.780
25.030,63.140,14.490,3.830
25.040,63.190,14.516,3.780
25.220,63.230,14.540,3.780
25.200,63.280,14.566,3.780
25.190,63.430,14.593,3.830
25.210,63.380,14.618,3.780
25.230,63.430,14.646,3.780
25.330,63.520,14.669,3.830
25.330,63.520,14.695,3.780
25.410,63.520,14.721,3.780
25.470,63.620,14.745,3.830
25.330,62.610,14.774,3.670
25.250,62.800,14.798,3.780
25.420,62.900,14.825,3.720
25.410,62.950,14.849,3.780
25.350,62.990,14.876,3.780
25.410,63.040,14.901,3.830
25.500,63.090,14.928,3.780
25.400,63.090,14.953,3.780
25.340,63.190,14.978,3.780
24.890,63.190,15.013,3.720
24.690,63.190,15.052,3.720
24.980,63.280,15.077,3.720
24.940,63.330,15.103,3.830
24.980,63.380,15.130,3.780
24.830,63.430,15.156,3.720
25.020,63.470,15.182,3.830
25.110,63.520,15.208,3.720
25.110,63.570,15.235,3.780
25.110,63.620,15.260,3.780
25.180,63.380,15.287,3.880
25.060,62.510,15.311,3.670
25.050,62.800,15.335,3.780
25.080,63.330,15.362,3.780
24.870,63.660,15.388,4.040
25.100,63.430,15.413,3.780
25.240,63.470,15.441,3.780
25.290,63.470,15.467,3.780
25.360,63.570,15.493,3.780
25.310,63.570,15.519,3.780
25.350,62.990,15.545,3.560
25.150,63.140,15.570,3.780
25.210,63.140,15.592,3.720
25.060,63.190,15.621,3.720
25.190,63.280,15.645,3.780
24.940,63.330,15.674,3.780
24.680,63.330,15.699,3.780
24.380,63.380,15.726,3.780
24.490,63.430,15.750,3.780
24.600,63.470,15.776,3.720
24.590,63.520,15.801,3.720
24.790,63.520,15.828,3.670
24.910,63.620,15.853,3.780
24.910,62.660,15.877,3.350
24.870,63.520,15.903,3.720
24.950,63.570,15.931,3.720
24.950,63.570,15.958,3.670
24.900,63.280,15.983,3.460
24.820,62.710,16.013,3.140
24.960,62.130,16.035,3.190
24.950,63.430,16.061,3.400
24.980,62.560,16.088,2.930
24.940,62.710,16.111,2.980
25.050,62.850,16.137,3.030
25.090,62.990,16.163,3.080
25.240,63.230,16.188,3.190
25.220,63.470,16.214,3.190
25.310,62.560,16.242,2.710
25.400,62.900,16.266,3.190
25.470,63.380,16.293,3.030
25.580,63.430,16.323,3.030
25.610,63.470,16.344,2.980
25.710,63.570,16.372,3.030
25.230,63.520,16.415,2.930
25.330,63.620,16.450,2.930
25.470,62.950,16.477,2.450
25.450,62.990,16.503,2.450
25.670,62.990,16.527,2.450
25.360,63.040,16.576,2.340
25.430,63.090,16.597,2.340
25.470,63.140,16.628,2.340
25.520,63.230,16.680,2.290
25.410,63.230,16.707,2.230
25.670,63.280,16.734,2.290
25.770,63.280,16.760,2.180
25.750,63.380,16.786,2.230
25.850,63.380,16.812,2.130
25.940,63.430,16.841,2.130
25.910,63.470,16.864,2.130
26.090,63.470,16.891,2.130
25.970,63.520,16.919,2.130
25.930,63.570,16.942,2.020
26.060,63.620,16.968,2.020
26.200,63.380,16.995,1.810
26.210,63.520,17.021,1.860
26.220,62.510,17.046,1.280
26.200,62.610,17.072,1.330
26.200,62.750,17.095,1.280
26.370,63.040,17.122,1.380
26.470,63.330,17.148,1.540
26.500,62.850,17.174,1.070
26.480,63.330,17.201,1.440
26.650,63.430,17.224,1.440
26.450,63.570,17.249,1.490
26.430,62.990,17.278,1.070
26.540,63.040,17.302,1.010
26.610,63.140,17.328,1.070
26.630,63.140,17.356,1.010
26.740,63.190,17.381,1.010
